inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,0,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,0,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,0,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,0,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,1,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,1,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,1,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,1,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,2,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,2,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,2,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,2,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,3,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,3,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,3,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,3,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,4,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,4,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,4,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,4,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,5,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,5,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,5,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,5,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,6,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,6,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,6,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,6,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,7,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,7,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,7,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,7,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,8,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,8,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,8,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,8,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,9,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,9,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,9,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,9,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,10,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,10,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,10,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,10,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,11,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,11,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,11,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,11,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,12,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,12,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,12,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,12,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,13,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,13,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,13,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,13,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,14,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,14,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,14,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,14,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,15,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,15,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,15,2,PARTNER_DEAD,0,4,0
off,0.05,0.05,1.0,15,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,16,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,16,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,16,2,TIMEOUT,0,4,2
off,0.05,0.05,1.0,16,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,17,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,17,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,17,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,17,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,18,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,18,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,18,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,18,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,19,0,TIMEOUT,0,2,0
off,0.05,0.05,1.0,19,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,19,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,19,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,20,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,20,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,20,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,20,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,21,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,21,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,21,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,21,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,22,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,22,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,22,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,22,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,23,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,23,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,23,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,23,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,24,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,24,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,24,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,24,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,25,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,25,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,25,2,TIMEOUT,0,4,1
